# YHDA_VERSION=0.6.1
# TEST_SERVICE=PFK
# PLANT_TYPE=DGKCS
# STEP_ID=SENS_50_010
# STEP_NAME=Hassasiyet — 50,010 Hz
# TESIS_ADI=YHDA Örnek DGKÇS
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=800.0
# UNIT_PNOM_MW=800.0
# RPMAX_MW=50.0
# RPMIN_MW=40.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=690.0
# PSET_MIN_MW=230.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;fuel_valve_pct
-30,000000;50,000105;50,000000;690,037324;690,000000;57,973090
-29,900000;50,000171;50,000000;690,014288;690,000000;58,024248
-29,800000;50,000326;50,000000;690,038370;690,000000;58,001430
-29,700000;50,000100;50,000000;689,990209;690,000000;57,998241
-29,600000;49,999934;50,000000;689,969273;690,000000;57,959615
-29,500000;49,999959;50,000000;689,987644;690,000000;57,979617
-29,400000;49,999799;50,000000;689,971409;690,000000;57,971681
-29,300000;50,000361;50,000000;689,980644;690,000000;58,046727
-29,200000;49,999913;50,000000;689,918118;690,000000;57,988457
-29,100000;49,999970;50,000000;690,018589;690,000000;57,989409
-29,000000;49,999829;50,000000;690,027504;690,000000;57,994587
-28,900000;49,999973;50,000000;689,989243;690,000000;58,001591
-28,800000;49,999733;50,000000;689,996493;690,000000;58,052687
-28,700000;50,000104;50,000000;690,023530;690,000000;57,976430
-28,600000;50,000040;50,000000;690,007371;690,000000;57,991279
-28,500000;50,000377;50,000000;690,047860;690,000000;58,003309
-28,400000;50,000053;50,000000;689,991998;690,000000;58,008725
-28,300000;49,999799;50,000000;689,921773;690,000000;57,997032
-28,200000;50,000153;50,000000;690,041235;690,000000;57,976140
-28,100000;50,000095;50,000000;689,961081;690,000000;57,979959
-28,000000;50,000609;50,000000;690,045397;690,000000;58,005811
-27,900000;49,999979;50,000000;690,080592;690,000000;57,983795
-27,800000;49,999941;50,000000;690,082627;690,000000;57,979658
-27,700000;50,000008;50,000000;690,038718;690,000000;57,998650
-27,600000;50,000058;50,000000;690,028796;690,000000;57,992137
-27,500000;49,999811;50,000000;689,988611;690,000000;57,993194
-27,400000;49,999902;50,000000;689,964660;690,000000;58,000615
-27,300000;49,999716;50,000000;689,977961;690,000000;58,028792
-27,200000;49,999729;50,000000;689,996319;690,000000;58,032411
