# YHDA_VERSION=0.6.1
# TEST_SERVICE=SFHM
# PLANT_TYPE=EDUEDT
# STEP_ID=LFSM_U_49_6
# STEP_NAME=Sınırlı frekans hassasiyet modu — düşük frekans / 49,6 Hz
# TESIS_ADI=YHDA Örnek SFHM EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# SFHM_RESERVE_MW=20
# DROOP_PERCENT=4
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
time_s;grid_frequency_hz;active_power_mw;active_power_reference_mw;reserve_mw;soc_pct;stored_energy_mwh;dc_power_mw
-20,000000;49,999755;54,939232;55,000000;20;64,999237;129,998474;55,659037
-19,900000;49,999619;55,054898;55,000000;20;64,998472;129,996945;55,692327
-19,800000;49,999879;55,024762;55,000000;20;64,997708;129,995416;55,695606
-19,700000;49,999788;55,082473;55,000000;20;64,996943;129,993886;55,703436
-19,600000;50,000158;55,006011;55,000000;20;64,996179;129,992358;55,661209
-19,500000;49,999996;54,925271;55,000000;20;64,995416;129,990832;55,572202
-19,400000;50,000016;54,978347;55,000000;20;64,994653;129,989305;55,696269
-19,300000;49,999896;54,999940;55,000000;20;64,993889;129,987777;55,666538
-19,200000;49,999917;55,037994;55,000000;20;64,993124;129,986249;55,709792
-19,100000;50,000058;54,990574;55,000000;20;64,992361;129,984721;55,622713
-19,000000;49,999834;55,050497;55,000000;20;64,991596;129,983192;55,674306
-18,900000;50,000596;54,955154;55,000000;20;64,990833;129,981665;55,629953
-18,800000;49,999484;54,990683;55,000000;20;64,990069;129,980138;55,659054
-18,700000;49,999886;54,960703;55,000000;20;64,989306;129,978611;55,612336
-18,600000;49,999364;54,971849;55,000000;20;64,988542;129,977084;55,619235
-18,500000;49,999828;55,071126;55,000000;20;64,987777;129,975554;55,696395
-18,400000;50,000099;54,967658;55,000000;20;64,987014;129,974028;55,637124
-18,300000;49,999996;55,003228;55,000000;20;64,986250;129,972500;55,646046
-18,200000;49,999826;55,014386;55,000000;20;64,985486;129,970972;55,645323
-18,100000;50,000162;54,979716;55,000000;20;64,984722;129,969444;55,621269
-18,000000;50,000646;55,019759;55,000000;20;64,983958;129,967916;55,637401
-17,900000;49,999807;55,047632;55,000000;20;64,983193;129,966387;55,664956
-17,800000;50,000014;54,922180;55,000000;20;64,982431;129,964861;55,592982
-17,700000;49,999657;54,969464;55,000000;20;64,981667;129,963334;55,615863
-17,600000;50,000689;54,934479;55,000000;20;64,980904;129,961808;55,575961
-17,500000;50,000181;55,007559;55,000000;20;64,980140;129,960280;55,660646
-17,400000;50,000146;55,014232;55,000000;20;64,979376;129,958752;55,663605
-17,300000;50,000300;54,982226;55,000000;20;64,978612;129,957225;55,656330
-17,200000;50,000073;55,005308;55,000000;20;64,977849;129,955697;55,637615
-17,100000;50,000163;54,948073;55,000000;20;64,977085;129,954171;55,630644
-17,000000;50,000123;55,083203;55,000000;20;64,976320;129,952641;55,770998
-16,900000;49,999831;55,164876;55,000000;20;64,975554;129,951108;55,829582
-16,800000;50,000254;54,986703;55,000000;20;64,974790;129,949581;55,630652
-16,700000;50,000082;55,052634;55,000000;20;64,974026;129,948052;55,733387
-16,600000;50,000486;55,015395;55,000000;20;64,973262;129,946523;55,612355
-16,500000;50,000052;55,018432;55,000000;20;64,972498;129,944995;55,703812
-16,400000;49,999931;54,993448;55,000000;20;64,971734;129,943467;55,638087
-16,300000;49,999784;54,948038;55,000000;20;64,970971;129,941941;55,634447
-16,200000;49,999546;54,952273;55,000000;20;64,970207;129,940415;55,671999
-16,100000;49,999494;55,034570;55,000000;20;64,969443;129,938886;55,681153
-16,000000;50,000072;54,921625;55,000000;20;64,968680;129,937360;55,589950
-15,900000;50,000035;54,979399;55,000000;20;64,967917;129,935833;55,593667
-15,800000;49,999632;55,064607;55,000000;20;64,967152;129,934304;55,731811
-15,700000;49,999756;54,934101;55,000000;20;64,966389;129,932778;55,557902
-15,600000;49,999856;55,013374;55,000000;20;64,965625;129,931249;55,673296
-15,500000;49,999631;54,954713;55,000000;20;64,964861;129,929723;55,649636
-15,400000;49,999994;55,045959;55,000000;20;64,964097;129,928194;55,674333
-15,300000;49,999847;54,994884;55,000000;20;64,963333;129,926666;55,647765
-15,200000;49,999774;55,029578;55,000000;20;64,962569;129,925138;55,659072
-15,100000;50,000406;54,960351;55,000000;20;64,961806;129,923611;55,594005
-15,000000;49,999533;54,969692;55,000000;20;64,961042;129,922084;55,601183
-14,900000;50,000007;55,041229;55,000000;20;64,960278;129,920555;55,661956
-14,800000;49,999943;55,007091;55,000000;20;64,959514;129,919027;55,684498
-14,700000;50,000361;55,075568;55,000000;20;64,958749;129,917497;55,714732
-14,600000;50,000314;54,937096;55,000000;20;64,957986;129,915971;55,635050
-14,500000;49,999731;54,981150;55,000000;20;64,957222;129,914444;55,680033
-14,400000;50,000142;55,023040;55,000000;20;64,956458;129,912916;55,704455
