# YHDA_VERSION=0.5
# TEST_SERVICE=PFK
# PLANT_TYPE=TES
# STEP_ID=SENS_50_005
# STEP_NAME=Hassasiyet — 50,005 Hz
# TESIS_ADI=YHDA Örnek TES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=600.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=600.0
# UNIT_PNOM_MW=600.0
# RPMAX_MW=36.0
# RPMIN_MW=30.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=516.0
# PSET_MIN_MW=190.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;regulator_valve_pct;steam_pressure_bar;steam_temperature_c
-30,000000;50,000103;50,000000;516,037449;516,000000;50,960279;165,028328;537,991626
-29,900000;50,000012;50,000000;515,995547;516,000000;51,033541;164,981545;538,078373
-29,800000;50,000148;50,000000;515,984283;516,000000;50,985313;165,031829;537,955313
-29,700000;49,999728;50,000000;516,079174;516,000000;50,989177;165,007867;538,020292
-29,600000;49,999924;50,000000;515,979767;516,000000;50,991252;165,035781;538,015362
-29,500000;49,999813;50,000000;516,071323;516,000000;51,005057;164,993670;538,015315
-29,400000;49,999834;50,000000;515,989459;516,000000;50,987971;165,052615;537,974709
-29,300000;50,000023;50,000000;516,051214;516,000000;51,020696;164,973031;537,987753
-29,200000;49,999991;50,000000;516,055956;516,000000;51,020252;165,051737;538,011869
-29,100000;50,000133;50,000000;515,995438;516,000000;50,982508;164,954449;537,953314
-29,000000;50,000078;50,000000;516,009272;516,000000;51,038516;164,939278;538,032557
-28,900000;50,000182;50,000000;516,079380;516,000000;51,006957;164,919049;538,001044
-28,800000;50,000203;50,000000;515,954987;516,000000;51,006683;165,024074;538,000596
-28,700000;50,000147;50,000000;516,058091;516,000000;50,988778;164,987777;538,016034
-28,600000;50,000175;50,000000;516,027748;516,000000;51,002980;164,947755;537,974501
-28,500000;49,999778;50,000000;516,064144;516,000000;51,029968;164,971479;537,953925
-28,400000;50,000172;50,000000;516,053926;516,000000;51,001690;165,014493;537,993009
-28,300000;49,999961;50,000000;515,948132;516,000000;50,994836;165,003884;537,964099
-28,200000;49,999933;50,000000;516,052178;516,000000;51,008038;164,996829;538,032483
