# YHDA_VERSION=0.6.1
# TEST_SERVICE=PFK
# PLANT_TYPE=TES
# STEP_ID=RES_MIN_NEG200
# STEP_NAME=Minimum çıkış gücü — Δf = -200 mHz / 49,8 Hz
# TESIS_ADI=YHDA Örnek TES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=600.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=600.0
# UNIT_PNOM_MW=600.0
# RPMAX_MW=36.0
# RPMIN_MW=30.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=516.0
# PSET_MIN_MW=190.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;regulator_valve_pct;steam_pressure_bar;steam_temperature_c
-20,000000;49,996991;50,000000;190,105429;190,000000;50,979423;164,848794;537,822708
-19,900000;49,997401;50,000000;189,933207;190,000000;50,987624;164,808416;537,819677
-19,800000;49,997407;50,000000;190,044853;190,000000;50,987334;164,814336;537,815589
-19,700000;49,997678;50,000000;189,997931;190,000000;50,998773;164,799362;537,783648
-19,600000;49,996866;50,000000;189,964096;190,000000;51,022446;164,860703;537,739458
-19,500000;49,997149;50,000000;189,967618;190,000000;50,967730;164,778789;537,910430
-19,400000;49,997316;50,000000;189,994851;190,000000;51,038695;164,788964;537,903836
-19,300000;49,997666;50,000000;190,002708;190,000000;50,934891;164,849354;537,872295
-19,200000;49,997442;50,000000;190,160247;190,000000;51,059322;164,858061;537,906640
-19,100000;49,997118;50,000000;190,009189;190,000000;50,976466;164,778222;537,892500
-19,000000;49,997634;50,000000;190,065493;190,000000;50,974167;164,838273;537,837719
-18,900000;49,997291;50,000000;190,028980;190,000000;50,925420;164,821435;537,817855
-18,800000;49,997169;50,000000;190,054259;190,000000;51,034838;164,796637;537,864542
-18,700000;49,997201;50,000000;189,966837;190,000000;50,944881;164,823089;537,885521
-18,600000;49,997654;50,000000;189,992183;190,000000;51,030324;164,822776;537,844576
-18,500000;49,997364;50,000000;190,017360;190,000000;50,979436;164,860407;537,908395
-18,400000;49,997586;50,000000;190,020520;190,000000;51,006660;164,817400;537,851246
-18,300000;49,997577;50,000000;189,956054;190,000000;50,961331;164,796749;537,892153
-18,200000;49,997464;50,000000;189,967295;190,000000;51,018998;164,796393;537,781425
-18,100000;49,997691;50,000000;190,233633;190,000000;50,933877;164,819263;537,829255
-18,000000;49,997483;50,000000;190,131506;190,000000;50,999819;164,840164;537,860969
-17,900000;49,997825;50,000000;190,085038;190,000000;51,098165;164,829649;537,845309
-17,800000;49,997800;50,000000;190,003890;190,000000;51,081621;164,821126;537,797355
-17,700000;49,997524;50,000000;189,808449;190,000000;51,004220;164,816435;537,898458
-17,600000;49,997607;50,000000;189,929611;190,000000;50,975121;164,854208;537,863697
-17,500000;49,997797;50,000000;190,039919;190,000000;51,010441;164,860039;537,784597
-17,400000;49,997589;50,000000;190,055837;190,000000;51,005392;164,834533;537,986693
-17,300000;49,998410;50,000000;189,927506;190,000000;50,984183;164,857127;537,928157
-17,200000;49,997707;50,000000;190,043391;190,000000;50,983395;164,918175;537,977764
-17,100000;49,997523;50,000000;189,887220;190,000000;50,999036;164,822570;537,828476
-17,000000;49,997765;50,000000;190,108044;190,000000;51,011763;164,797802;537,863101
-16,900000;49,997291;50,000000;189,989376;190,000000;50,949550;164,916398;537,861905
-16,800000;49,997396;50,000000;190,035843;190,000000;51,015760;164,883590;537,842651
-16,700000;49,997479;50,000000;190,030783;190,000000;50,965976;164,785568;537,761087
-16,600000;49,997545;50,000000;190,030420;190,000000;50,991897;164,869421;537,829370
