# YHDA_VERSION=0.5
# TEST_SERVICE=PFK
# PLANT_TYPE=HES
# STEP_ID=RES_MIN_POS200
# STEP_NAME=Minimum çıkış gücü — Δf = +200 mHz / 50,2 Hz
# TESIS_ADI=YHDA Örnek HES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=500.0
# UNIT_PNOM_MW=500.0
# RPMAX_MW=25.0
# RPMIN_MW=25.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=460.0
# PSET_MIN_MW=140.0
# UNIT_NOMINAL_SPEED_RPM=150
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;guide_vane_pct
-20,000000;49,996892;50,000000;139,990672;140,000000;54,979659
-19,900000;49,997339;50,000000;140,040950;140,000000;55,047875
-19,800000;49,997057;50,000000;140,062258;140,000000;55,063302
-19,700000;49,997427;50,000000;140,078457;140,000000;55,012576
-19,600000;49,997329;50,000000;139,908765;140,000000;55,036558
-19,500000;49,997747;50,000000;139,970015;140,000000;55,003945
-19,400000;49,997026;50,000000;139,947961;140,000000;55,003385
-19,300000;49,997367;50,000000;140,022275;140,000000;55,033090
-19,200000;49,997144;50,000000;140,016116;140,000000;55,043962
-19,100000;49,997595;50,000000;139,922263;140,000000;55,011160
-19,000000;49,997254;50,000000;139,960221;140,000000;54,964648
-18,900000;49,997450;50,000000;140,049290;140,000000;54,976137
-18,800000;49,997102;50,000000;139,833222;140,000000;54,960834
-18,700000;49,997844;50,000000;140,079777;140,000000;54,947861
-18,600000;49,997725;50,000000;139,919510;140,000000;54,902729
-18,500000;49,997470;50,000000;139,956553;140,000000;54,974391
-18,400000;49,997843;50,000000;139,855908;140,000000;54,970339
-18,300000;49,997652;50,000000;139,922999;140,000000;55,014762
-18,200000;49,997742;50,000000;139,937213;140,000000;55,033112
-18,100000;49,997854;50,000000;140,012129;140,000000;55,034144
-18,000000;49,997195;50,000000;139,999251;140,000000;54,925661
-17,900000;49,997447;50,000000;140,054627;140,000000;54,984464
-17,800000;49,997515;50,000000;139,941818;140,000000;55,018145
-17,700000;49,997862;50,000000;139,926661;140,000000;54,982031
-17,600000;49,997359;50,000000;139,959203;140,000000;55,022668
-17,500000;49,997675;50,000000;139,950786;140,000000;54,952401
-17,400000;49,997532;50,000000;139,927362;140,000000;55,021012
-17,300000;49,997455;50,000000;140,104812;140,000000;54,981470
-17,200000;49,997601;50,000000;140,108432;140,000000;54,980335
-17,100000;49,997826;50,000000;140,050418;140,000000;54,996283
-17,000000;49,997856;50,000000;139,982348;140,000000;55,037688
-16,900000;49,998048;50,000000;139,858702;140,000000;55,018078
-16,800000;49,997803;50,000000;139,989746;140,000000;54,996899
-16,700000;49,997821;50,000000;139,906392;140,000000;55,036413
-16,600000;49,997650;50,000000;139,929937;140,000000;54,950842
-16,500000;49,997878;50,000000;140,087260;140,000000;55,015635
-16,400000;49,997745;50,000000;140,039944;140,000000;55,039491
-16,300000;49,997382;50,000000;140,034176;140,000000;54,933912
-16,200000;49,997891;50,000000;140,097230;140,000000;55,060067
-16,100000;49,998040;50,000000;139,872750;140,000000;54,938626
-16,000000;49,997698;50,000000;139,918847;140,000000;55,055856
-15,900000;49,997856;50,000000;140,099362;140,000000;54,995033
-15,800000;49,997939;50,000000;140,022407;140,000000;55,000442
-15,700000;49,998031;50,000000;140,008932;140,000000;54,992173
-15,600000;49,998037;50,000000;140,011624;140,000000;55,021075
-15,500000;49,997791;50,000000;140,049357;140,000000;54,957120
-15,400000;49,997523;50,000000;139,894701;140,000000;55,002499
-15,300000;49,998055;50,000000;139,981671;140,000000;54,959370
-15,200000;49,997834;50,000000;139,994186;140,000000;55,062851
-15,100000;49,997986;50,000000;140,110977;140,000000;54,993305
-15,000000;49,997586;50,000000;140,162944;140,000000;54,997929
-14,900000;49,998020;50,000000;140,023937;140,000000;54,998423
-14,800000;49,997691;50,000000;139,945855;140,000000;55,044686
-14,700000;49,997783;50,000000;139,903948;140,000000;54,963081
-14,600000;49,997936;50,000000;140,057065;140,000000;55,025513
-14,500000;49,998364;50,000000;140,121996;140,000000;54,959767
-14,400000;49,998074;50,000000;139,946308;140,000000;55,054158
-14,300000;49,997353;50,000000;139,932951;140,000000;55,015597
-14,200000;49,998261;50,000000;139,939982;140,000000;55,008188
-14,100000;49,997935;50,000000;140,009933;140,000000;55,029008
-14,000000;49,998232;50,000000;139,973104;140,000000;54,995916
-13,900000;49,998239;50,000000;140,078655;140,000000;55,005181
-13,800000;49,998331;50,000000;140,012330;140,000000;54,964753
-13,700000;49,998021;50,000000;139,946918;140,000000;54,950768
-13,600000;49,998341;50,000000;139,991586;140,000000;55,004562
-13,500000;49,997905;50,000000;140,045278;140,000000;54,993868
-13,400000;49,998125;50,000000;139,952426;140,000000;54,956234
-13,300000;49,998233;50,000000;140,033262;140,000000;55,015610
-13,200000;49,997918;50,000000;140,052441;140,000000;55,051306
-13,100000;49,997611;50,000000;140,053691;140,000000;54,996877
-13,000000;49,998553;50,000000;140,035177;140,000000;54,929930
-12,900000;49,998168;50,000000;139,981620;140,000000;54,937617
-12,800000;49,997835;50,000000;140,022290;140,000000;55,079666
-12,700000;49,998208;50,000000;139,909071;140,000000;55,024939
-12,600000;49,998389;50,000000;140,092719;140,000000;54,965633
