# YHDA_VERSION=0.5
# TEST_SERVICE=SFHM
# PLANT_TYPE=KONV
# STEP_ID=LFSM_O_50_4
# STEP_NAME=Sınırlı frekans hassasiyet modu — yüksek frekans / 50,4 Hz
# TESIS_ADI=YHDA Örnek Konvansiyonel SFHM
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# SFHM_RESERVE_MW=30
# DROOP_PERCENT=4
time_s;grid_frequency_hz;active_power_mw;active_power_reference_mw;reserve_mw
-20,000000;50,000192;274,940173;275,000000;30
-19,900000;50,000305;274,955080;275,000000;30
-19,800000;50,000126;274,978110;275,000000;30
-19,700000;49,999977;274,956106;275,000000;30
-19,600000;50,000081;275,076860;275,000000;30
-19,500000;49,999541;274,980148;275,000000;30
-19,400000;50,000413;275,059567;275,000000;30
-19,300000;50,000098;275,044159;275,000000;30
-19,200000;50,000373;274,969500;275,000000;30
-19,100000;50,000097;274,929956;275,000000;30
-19,000000;49,999437;275,060194;275,000000;30
-18,900000;49,999915;275,050860;275,000000;30
-18,800000;50,000082;274,916682;275,000000;30
-18,700000;50,000033;275,003311;275,000000;30
-18,600000;50,000191;274,968720;275,000000;30
-18,500000;49,999212;275,022718;275,000000;30
-18,400000;49,999836;275,001448;275,000000;30
-18,300000;49,999512;274,982362;275,000000;30
-18,200000;50,000228;275,029563;275,000000;30
-18,100000;49,999763;275,054883;275,000000;30
-18,000000;50,000060;274,915222;275,000000;30
-17,900000;50,000357;274,983813;275,000000;30
-17,800000;50,000444;275,019014;275,000000;30
-17,700000;49,999914;275,020724;275,000000;30
-17,600000;50,000455;275,011360;275,000000;30
-17,500000;50,000577;275,046883;275,000000;30
-17,400000;49,999579;275,007542;275,000000;30
-17,300000;49,999440;274,992718;275,000000;30
-17,200000;49,999689;274,962233;275,000000;30
-17,100000;49,999914;275,022794;275,000000;30
-17,000000;50,000147;274,904960;275,000000;30
-16,900000;50,000183;275,010308;275,000000;30
-16,800000;50,000151;274,925935;275,000000;30
-16,700000;50,000352;274,993457;275,000000;30
-16,600000;50,000334;275,027278;275,000000;30
-16,500000;50,000047;274,900613;275,000000;30
-16,400000;50,000686;275,022220;275,000000;30
-16,300000;49,999810;274,923188;275,000000;30
-16,200000;49,999785;275,043701;275,000000;30
-16,100000;49,999957;274,970474;275,000000;30
-16,000000;49,999934;274,991531;275,000000;30
-15,900000;50,000113;275,042141;275,000000;30
-15,800000;50,000081;274,953592;275,000000;30
-15,700000;49,999911;274,977038;275,000000;30
-15,600000;50,000363;275,047013;275,000000;30
-15,500000;49,999783;274,992479;275,000000;30
-15,400000;50,000466;275,033530;275,000000;30
-15,300000;50,000265;275,010830;275,000000;30
-15,200000;49,999819;274,924467;275,000000;30
-15,100000;49,999969;275,081460;275,000000;30
-15,000000;49,999845;274,912166;275,000000;30
-14,900000;49,999645;275,110826;275,000000;30
-14,800000;49,999933;274,951879;275,000000;30
-14,700000;49,999949;274,958875;275,000000;30
-14,600000;50,000352;274,952138;275,000000;30
-14,500000;50,000306;274,978875;275,000000;30
-14,400000;50,000086;275,003213;275,000000;30
-14,300000;49,999946;275,011903;275,000000;30
-14,200000;50,000023;275,034199;275,000000;30
-14,100000;50,000055;275,032397;275,000000;30
-14,000000;49,999938;274,964779;275,000000;30
-13,900000;50,000205;274,999598;275,000000;30
-13,800000;49,999719;275,053128;275,000000;30
-13,700000;50,000015;274,976361;275,000000;30
-13,600000;50,000351;275,065349;275,000000;30
-13,500000;50,000105;274,992341;275,000000;30
-13,400000;49,999844;275,033484;275,000000;30
-13,300000;49,999976;275,051550;275,000000;30
-13,200000;49,999918;274,996923;275,000000;30
-13,100000;50,000082;275,041338;275,000000;30
-13,000000;49,999934;274,937995;275,000000;30
-12,900000;49,999546;275,030847;275,000000;30
-12,800000;50,000491;275,068049;275,000000;30
-12,700000;50,000390;274,973298;275,000000;30
-12,600000;49,999852;275,018801;275,000000;30
-12,500000;49,999857;274,945989;275,000000;30
-12,400000;50,000028;274,976577;275,000000;30
-12,300000;50,000275;274,979658;275,000000;30
-12,200000;49,999859;274,969768;275,000000;30
-12,100000;49,999806;275,010788;275,000000;30
-12,000000;49,999680;275,068790;275,000000;30
-11,900000;50,000359;274,966994;275,000000;30
-11,800000;49,999697;274,991677;275,000000;30
-11,700000;49,999596;274,942562;275,000000;30
-11,600000;49,999838;275,001662;275,000000;30
-11,500000;50,000257;274,986906;275,000000;30
-11,400000;49,999491;275,005675;275,000000;30
-11,300000;50,000173;274,919148;275,000000;30
-11,200000;49,999791;274,985851;275,000000;30
-11,100000;49,999932;275,082662;275,000000;30
-11,000000;50,000249;275,062355;275,000000;30
-10,900000;50,000380;274,931982;275,000000;30
-10,800000;49,999590;275,015510;275,000000;30
-10,700000;50,000647;274,955567;275,000000;30
-10,600000;49,999980;275,048110;275,000000;30
-10,500000;49,999711;274,957967;275,000000;30
-10,400000;49,999842;275,022926;275,000000;30
-10,300000;50,000008;275,009293;275,000000;30
-10,200000;50,000274;275,022960;275,000000;30
-10,100000;50,000353;274,931233;275,000000;30
-10,000000;49,999810;275,022328;275,000000;30
-9,900000;50,000177;275,037595;275,000000;30
-9,800000;50,000072;275,000617;275,000000;30
-9,700000;50,000790;275,030400;275,000000;30
-9,600000;50,000102;275,060253;275,000000;30
-9,500000;49,999911;274,963361;275,000000;30
-9,400000;50,000771;275,093850;275,000000;30
-9,300000;49,999903;275,054100;275,000000;30
-9,200000;49,999949;274,918190;275,000000;30
-9,100000;49,999911;275,003842;275,000000;30
-9,000000;50,000320;274,935071;275,000000;30
-8,900000;49,999686;274,968603;275,000000;30
-8,800000;50,000412;274,970029;275,000000;30
-8,700000;49,999889;275,034863;275,000000;30
-8,600000;49,999966;274,983424;275,000000;30
-8,500000;49,999885;274,940869;275,000000;30
-8,400000;49,999736;275,014326;275,000000;30
-8,300000;50,000147;275,021539;275,000000;30
-8,200000;49,999779;275,035370;275,000000;30
-8,100000;49,999982;275,057045;275,000000;30
-8,000000;49,999920;274,996356;275,000000;30
-7,900000;49,999390;275,062104;275,000000;30
-7,800000;49,999744;274,983160;275,000000;30
-7,700000;49,999865;274,989171;275,000000;30
-7,600000;50,000236;275,040449;275,000000;30
-7,500000;50,000504;274,949910;275,000000;30
-7,400000;50,000117;274,957912;275,000000;30
-7,300000;50,000557;275,040586;275,000000;30
-7,200000;50,000022;274,928701;275,000000;30
-7,100000;49,999625;274,917075;275,000000;30
-7,000000;49,999847;274,989962;275,000000;30
-6,900000;50,000029;275,001933;275,000000;30
-6,800000;49,999635;275,000365;275,000000;30
-6,700000;50,000069;275,053042;275,000000;30
-6,600000;49,999820;274,964640;275,000000;30
-6,500000;50,000012;275,025276;275,000000;30
-6,400000;50,000427;275,008604;275,000000;30
-6,300000;49,999695;275,036541;275,000000;30
-6,200000;50,000294;275,024119;275,000000;30
-6,100000;50,000080;274,929938;275,000000;30
-6,000000;49,999932;274,990280;275,000000;30
-5,900000;49,999713;274,976880;275,000000;30
-5,800000;49,999687;274,878393;275,000000;30
-5,700000;50,000404;275,021337;275,000000;30
-5,600000;49,999767;275,041586;275,000000;30
-5,500000;50,000057;275,001595;275,000000;30
-5,400000;50,000131;275,061181;275,000000;30
-5,300000;50,000300;275,059023;275,000000;30
-5,200000;50,000180;275,036830;275,000000;30
-5,100000;50,000329;275,028019;275,000000;30
-5,000000;49,999696;275,016246;275,000000;30
-4,900000;50,000074;274,932935;275,000000;30
-4,800000;49,999658;275,030046;275,000000;30
-4,700000;50,000001;274,990827;275,000000;30
-4,600000;49,999826;275,069150;275,000000;30
-4,500000;49,999932;274,967746;275,000000;30
-4,400000;49,999983;274,961449;275,000000;30
-4,300000;50,000018;275,022966;275,000000;30
-4,200000;49,999646;274,954028;275,000000;30
-4,100000;50,000087;274,948029;275,000000;30
-4,000000;49,999829;275,055339;275,000000;30
-3,900000;50,000571;274,906777;275,000000;30
-3,800000;50,000155;274,953932;275,000000;30
-3,700000;49,999826;275,010314;275,000000;30
-3,600000;50,000257;275,011080;275,000000;30
-3,500000;50,000053;274,973238;275,000000;30
-3,400000;49,999379;275,057513;275,000000;30
-3,300000;50,000361;274,989222;275,000000;30
-3,200000;50,000469;275,030898;275,000000;30
-3,100000;49,999746;275,002338;275,000000;30
-3,000000;49,999819;274,977014;275,000000;30
-2,900000;50,000085;274,999932;275,000000;30
-2,800000;50,000554;274,891457;275,000000;30
-2,700000;50,000078;275,010025;275,000000;30
-2,600000;50,000005;275,052164;275,000000;30
-2,500000;50,000033;275,051978;275,000000;30
-2,400000;49,999983;274,959291;275,000000;30
-2,300000;49,999759;275,003277;275,000000;30
-2,200000;50,000204;275,032150;275,000000;30
-2,100000;50,000085;274,956648;275,000000;30
-2,000000;50,000274;274,944517;275,000000;30
-1,900000;50,000240;275,043444;275,000000;30
-1,800000;49,999683;275,050006;275,000000;30
-1,700000;49,999709;274,976620;275,000000;30
-1,600000;49,999969;274,983835;275,000000;30
-1,500000;50,000065;274,989495;275,000000;30
-1,400000;50,000178;274,963571;275,000000;30
-1,300000;49,999502;275,087946;275,000000;30
-1,200000;50,000386;275,010772;275,000000;30
-1,100000;50,000369;274,942407;275,000000;30
-1,000000;49,999938;274,946281;275,000000;30
-0,900000;49,999524;275,038276;275,000000;30
-0,800000;49,999916;274,914435;275,000000;30
-0,700000;50,000049;275,078928;275,000000;30
-0,600000;50,000030;275,040838;275,000000;30
-0,500000;49,999771;274,963326;275,000000;30
-0,400000;50,000133;275,018597;275,000000;30
-0,300000;49,999788;275,001152;275,000000;30
-0,200000;49,999683;275,026495;275,000000;30
-0,100000;50,000175;275,032955;275,000000;30
0,000000;50,400112;274,970555;275,000000;30
